Question	Prédit	Réel		
 How far is it from Denver to Aspen ?	QUANTITY	QUANTITY	0	 How
What county is Modesto , California in ?	LOCATION	LOCATION	0	What
What does the technical term ISDN mean ?	DEFINITION	ABBREVIATION	1	What
What is an atom ?	DEFINITION	DEFINITION	0	What
When did Hawaii become a state ?	TEMPORAL	TEMPORAL	0	When
 How tall is the Sears Building ?	QUANTITY	QUANTITY	0	 How
What does the abbreviation SOS mean ?	DEFINITION	ABBREVIATION	1	What
What is the abbreviation for Texas ?	ENTITY	ABBREVIATION	1	What
Why does the moon turn orange ?	DESCRIPTION	DESCRIPTION	0	Why 
What is autism ?	DEFINITION	DEFINITION	0	What
What city had a world fair in 1900 ?	LOCATION	LOCATION	0	What
What person 's head is on a dime ?	PERSON	PERSON	0	What
What is the average weight of a Yellow Labrador ?	QUANTITY	QUANTITY	0	What
Who was the first man to fly across the Pacific Ocean ?	PERSON	PERSON	0	Who 
When did Idaho become a state ?	TEMPORAL	TEMPORAL	0	When
What is the life expectancy for crickets ?	QUANTITY	QUANTITY	0	What
What is TMJ ?	ENTITY	ABBREVIATION	1	What
Who developed the vaccination against polio ?	PERSON	PERSON	0	Who 
What is epilepsy ?	DEFINITION	DEFINITION	0	What
What year did the Titanic sink ?	TEMPORAL	TEMPORAL	0	What
Who was the first American to walk in space ?	PERSON	PERSON	0	Who 
What is a biosphere ?	DEFINITION	DEFINITION	0	What
What river in the US is known as the Big Muddy ?	LOCATION	LOCATION	0	What
What is bipolar disorder ?	DEFINITION	DEFINITION	0	What
What is cholesterol ?	DEFINITION	DEFINITION	0	What
Who developed the Macintosh computer ?	PERSON	PERSON	0	Who 
What is die-casting ?	DESCRIPTION	DEFINITION	1	What
What imaginary line is halfway between the North and South Poles ?	LOCATION	LOCATION	0	What
Where is John Wayne airport ?	LOCATION	LOCATION	0	Wher
What hemisphere is the Philippines in ?	LOCATION	LOCATION	0	What
What is the average speed of the horses at the Kentucky Derby ?	QUANTITY	QUANTITY	0	What
Where are the Rocky Mountains ?	LOCATION	LOCATION	0	Wher
What is caffeine ?	ENTITY	DEFINITION	1	What
What are invertebrates ?	ENTITY	DEFINITION	1	What
What are triglycerides ?	ENTITY	DEFINITION	1	What
How old was Elvis Presley when he died ?	QUANTITY	QUANTITY	0	How 
Where is the Orinoco River ?	LOCATION	LOCATION	0	Wher
 How far is the service line from the net in tennis ?	QUANTITY	QUANTITY	0	 How
How much fiber should you have per day ?	QUANTITY	QUANTITY	0	How 
How many Great Lakes are there ?	QUANTITY	QUANTITY	0	How 
Material called linen is made from what plant ?	ENTITY	ENTITY	0	Mate
What is Teflon ?	DEFINITION	DEFINITION	0	What
What is amitriptyline ?	DEFINITION	DEFINITION	0	What
What is a shaman ?	DEFINITION	DEFINITION	0	What
What is the proper name for a female walrus ?	ENTITY	ENTITY	0	What
What is a group of turkeys called ?	ENTITY	ENTITY	0	What
How long did Rip Van Winkle sleep ?	QUANTITY	QUANTITY	0	How 
What are xerophytes ?	ENTITY	DEFINITION	1	What
How many liters in a gallon ?	QUANTITY	QUANTITY	0	How 
What is an eclipse ?	ENTITY	DEFINITION	1	What
What are amphibians ?	DEFINITION	DEFINITION	0	What
Who discovered x-rays ?	PERSON	PERSON	0	Who 
Which comedian 's signature line is `` Can we talk '' ?	PERSON	PERSON	0	Whic
What is fibromyalgia ?	DEFINITION	DEFINITION	0	What
What is Wimbledon ?	ENTITY	DEFINITION	1	What
What does cc in engines mean ?	DEFINITION	DEFINITION	0	What
When did Elvis Presley die ?	TEMPORAL	TEMPORAL	0	When
What is the capital of Yugoslavia ?	LOCATION	LOCATION	0	What
Where is Milan ?	LOCATION	LOCATION	0	Wher
What is the speed hummingbirds fly ?	QUANTITY	QUANTITY	0	What
What is the oldest city in the United States ?	LOCATION	LOCATION	0	What
What was W.C. Fields ' real name ?	PERSON	PERSON	0	What
What river flows between Fargo , North Dakota and Moorhead , Minnesota ?	LOCATION	LOCATION	0	What
What do bats eat ?	ENTITY	ENTITY	0	What
What state did the Battle of Bighorn take place in ?	LOCATION	LOCATION	0	What
What are platelets ?	ENTITY	DEFINITION	1	What
What is severance pay ?	ENTITY	DEFINITION	1	What
What are spider veins ?	DEFINITION	DEFINITION	0	What
What day and month did John Lennon die ?	TEMPORAL	TEMPORAL	0	What
What strait separates North America from Asia ?	LOCATION	LOCATION	0	What
What is poliomyelitis ?	ENTITY	DEFINITION	1	What
How much was a ticket for the Titanic ?	QUANTITY	QUANTITY	0	How 
What is the largest city in the world ?	LOCATION	LOCATION	0	What
What American composer wrote the music for `` West Side Story '' ?	PERSON	PERSON	0	What
Where is the Mall of the America ?	LOCATION	LOCATION	0	Wher
What is the pH scale ?	DEFINITION	DEFINITION	0	What
What type of currency is used in Australia ?	ENTITY	ENTITY	0	What
 How tall is the Gateway Arch in St. Louis , MO ?	QUANTITY	QUANTITY	0	 How
How much does the human adult female brain weigh ?	QUANTITY	QUANTITY	0	How 
Who was the first governor of Alaska ?	PERSON	PERSON	0	Who 
What is a prism ?	DEFINITION	DEFINITION	0	What
When was the first liver transplant ?	TEMPORAL	TEMPORAL	0	When
Who was elected president of South Africa in 1994 ?	PERSON	PERSON	0	Who 
What is nicotine ?	ENTITY	DEFINITION	1	What
When was Rosa Parks born ?	TEMPORAL	TEMPORAL	0	When
Why is a ladybug helpful ?	DESCRIPTION	DESCRIPTION	0	Why 
What is amoxicillin ?	DEFINITION	DEFINITION	0	What
Who was the first female United States Representative ?	PERSON	PERSON	0	Who 
What are sunspots ?	ENTITY	DEFINITION	1	What
What country did Ponce de Leon come from ?	LOCATION	LOCATION	0	What
The U.S. Department of Treasury first issued paper currency for the U.S. during which war ?	ENTITY	ENTITY	0	The 
What is desktop publishing ?	DEFINITION	DEFINITION	0	What
What is the temperature of the sun 's surface ?	QUANTITY	QUANTITY	0	What
What year did Canada join the United Nations ?	TEMPORAL	TEMPORAL	0	What
What is nanotechnology ?	ENTITY	DEFINITION	1	What
Where is Prince Edward Island ?	LOCATION	LOCATION	0	Wher
What is an obtuse angle ?	ENTITY	DEFINITION	1	What
What is cryogenics ?	DEFINITION	DEFINITION	0	What
What are coral reefs ?	DEFINITION	DEFINITION	0	What
What are polymers ?	ENTITY	DEFINITION	1	What
What is neurology ?	DEFINITION	DEFINITION	0	What
Who invented the calculator ?	PERSON	PERSON	0	Who 
How do you measure earthquakes ?	DESCRIPTION	DESCRIPTION	0	How 
What is acetaminophen ?	ENTITY	DEFINITION	1	What
What county is Phoenix , AZ in ?	LOCATION	LOCATION	0	What
What is a micron ?	DEFINITION	DEFINITION	0	What
The sun 's core , what is the temperature ?	QUANTITY	QUANTITY	0	The 
What is supernova ?	ENTITY	DEFINITION	1	What
When were William Shakespeare 's twins born ?	TEMPORAL	TEMPORAL	0	When
What is the highest dam in the U.S. ?	LOCATION	LOCATION	0	What
What color is a poison arrow frog ?	ENTITY	ENTITY	0	What
What is acupuncture ?	DEFINITION	DEFINITION	0	What
What is neuropathy ?	ENTITY	DEFINITION	1	What
What is the name of Neil Armstrong 's wife ?	PERSON	PERSON	0	What
What is cryptography ?	ENTITY	DEFINITION	1	What
Who won Ms. American in 1989 ?	PERSON	PERSON	0	Who 
When did the Hindenberg crash ?	TEMPORAL	TEMPORAL	0	When
What is fungus ?	ENTITY	DEFINITION	1	What
What is sodium chloride ?	ENTITY	DEFINITION	1	What
Where is Perth ?	LOCATION	LOCATION	0	Wher
What year did WWII begin ?	TEMPORAL	TEMPORAL	0	What
What is influenza ?	ENTITY	DEFINITION	1	What
What is ozone depletion ?	ENTITY	DEFINITION	1	What
Who discovered America ?	PERSON	PERSON	0	Who 
What is phenylalanine ?	ENTITY	DEFINITION	1	What
Which president was unmarried ?	PERSON	PERSON	0	Whic
 How wide is the Milky Way galaxy ?	QUANTITY	QUANTITY	0	 How
What is sonar ?	ENTITY	DEFINITION	1	What
What is phosphorus ?	ENTITY	DEFINITION	1	What
What is Valentine 's Day ?	ENTITY	DEFINITION	1	What
 How far is a nautical mile ?	QUANTITY	QUANTITY	0	 How
Who was the abolitionist who led the raid on Harper 's Ferry in 1859 ?	PERSON	PERSON	0	Who 
What does target heart rate mean ?	DEFINITION	DEFINITION	0	What
What was the first satellite to go into space ?	ENTITY	ENTITY	0	What
What is bandwidth ?	ENTITY	DEFINITION	1	What
What is a parasite ?	ENTITY	DEFINITION	1	What
Where is the Holland Tunnel ?	LOCATION	LOCATION	0	Wher
Who wrote the hymn `` Amazing Grace '' ?	PERSON	PERSON	0	Who 
What is pilates ?	ENTITY	DEFINITION	1	What
What is Mardi Gras ?	ENTITY	DEFINITION	1	What
What is dianetics ?	ENTITY	DEFINITION	1	What
What is the name of Roy Roger 's dog ?	ENTITY	ENTITY	0	What
Where are the National Archives ?	LOCATION	LOCATION	0	Wher
What is a baby turkey called ?	ENTITY	ENTITY	0	What
What is osteoporosis ?	ENTITY	DEFINITION	1	What
What is the longest bone in the human body ?	ENTITY	ENTITY	0	What
Who is a German philosopher ?	PERSON	PERSON	0	Who 
What were Christopher Columbus ' three ships ?	ENTITY	ENTITY	0	What
What does Phi Beta Kappa mean ?	DEFINITION	DEFINITION	0	What
What is peyote ?	ENTITY	DEFINITION	1	What
What is another name for vitamin B1 ?	ENTITY	ENTITY	0	What
Who discovered radium ?	PERSON	PERSON	0	Who 
What is the chunnel ?	ENTITY	DEFINITION	1	What
When was Algeria colonized ?	TEMPORAL	TEMPORAL	0	When
What are antacids ?	ENTITY	DEFINITION	1	What
What continent is Egypt on ?	LOCATION	LOCATION	0	What
What is the capital of Mongolia ?	LOCATION	LOCATION	0	What
What are Quaaludes ?	ENTITY	DEFINITION	1	What
What is naproxen ?	ENTITY	DEFINITION	1	What
